Abreviation,Team,Points,PJ,PG,PE,PP,GF,GC,DG
RMA,Real Madrid,50,22,15,5,2,47,20,+27
SEV,Sevilla FC,46,22,13,7,2,34,16,+18
BET,Real Betis,40,22,12,4,6,41,25,+16
ATM,Atlético de Madrid,36,21,10,6,5,36,26,+10
BAR,FC Barcelona,35,21,9,8,4,32,23,+9
RSO,Real Sociedad,34,21,9,7,5,22,21,+1
VIL,Villarreal CF,32,22,8,8,6,36,23,+13
RAY,Rayo Vallecano,31,21,9,4,8,27,22,+5
ATH,Athletic Club,31,22,7,10,5,21,17,+4
VAL,Valencia CF,29,22,7,8,7,35,36,-1
OSA,CA Osasuna,28,22,7,7,8,22,27,-5
CEL,RC Celta,27,22,7,6,9,26,25,+1
ESP,RCD Espanyol de Barcelona,27,22,7,6,9,26,30,-4
GRA,Granada CF,24,22,5,9,8,26,33,-7
ELC,Elche CF,23,22,5,8,9,23,30,-7
GET,Getafe CF,22,22,5,7,10,17,23,-6
MLL,RCD Mallorca,20,21,4,8,9,17,33,-16
CAD,Cádiz CF,18,22,3,9,10,19,36,-17
ALA,Deportivo Alavés,17,22,4,5,13,16,35,-19
